"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon"
"54","ASV64","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"55","ASV65","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"56","ASV66","Sebastes melanops",98.788,98.788,0,"species","Sebastes melanops"
"57","ASV67","Sebastes polyspinis",98.773,98.773,0,"species","Sebastes polyspinis"
"58","ASV68","Sebastes pinniger",99.394,99.394,0,"species","Sebastes pinniger"
"59","ASV69","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"60","ASV7","Sebastes flavidus",100,100,0,"species","Sebastes flavidus"
"61","ASV70","Sebastes carnatus",99.394,99.394,0,"species","Sebastes carnatus"
"62","ASV71","Sebastes polyspinis",98.773,98.773,0,"species","Sebastes polyspinis"
"63","ASV72","Sebastes entomelas",98.788,98.788,0,"species","Sebastes entomelas"
"64","ASV73","Sebastes babcocki",100,100,0,"species","Sebastes babcocki"
"65","ASV76","Sebastes melanops",99.394,99.394,0,"species","Sebastes melanops"
"66","ASV77","Sebastes babcocki",98.788,98.788,0,"species","Sebastes babcocki"
"67","ASV78","Sebastes mystinus",98.788,98.788,0,"species","Sebastes mystinus"
"68","ASV79","Sebastes maliger",100,100,0,"species","Sebastes maliger"
"69","ASV8","Sebastes miniatus",100,100,0,"species","Sebastes miniatus"
"70","ASV80","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"71","ASV81","Sebastes polyspinis",98.16,98.16,0,"species","Sebastes polyspinis"
"72","ASV83","Sebastes babcocki",98.182,98.182,0,"species","Sebastes babcocki"
"73","ASV84","Sebastes elongatus",100,100,0,"species","Sebastes elongatus"
"74","ASV85","Sebastes proriger",100,100,0,"species","Sebastes proriger"
"75","ASV87","Sebastes polyspinis",98.773,98.773,0,"species","Sebastes polyspinis"
"76","ASV9","Sebastes alutus",100,100,0,"species","Sebastes alutus"
