"","Sample_ID","extraction_ID","seq_date","sample_type.x","station","collection_year","collection_month","collection_day","location1","longitude","latitude","depth","sample_type.y","taxon","tot_reads","total_taxon_reads","reads_per_sample","prop_reads","taxon_abbr"
"11","e02252_A","e02252",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",59,500250,23758,0.00248337402138227,"S. polyspinis"
"12","e02253_A","e02253",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",124,687833,23306,0.00532051832146228,"S. alutus"
"13","e02253_A","e02253",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",23182,500250,23306,0.994679481678538,"S. polyspinis"
"14","e02254_A","e02254",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",17058,687833,25197,0.676985355399452,"S. alutus"
"15","e02254_A","e02254",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",8139,500250,25197,0.323014644600548,"S. polyspinis"
"16","e02255_A","e02255",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",8,687833,23861,0.000335275135157789,"S. alutus"
"17","e02255_A","e02255",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes ciliatus_variabilis",23818,82577,23861,0.998197896148527,"S. ciliatus_variabilis"
"18","e02255_A","e02255",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",35,500250,23861,0.00146682871631533,"S. polyspinis"
"19","e02256_A","e02256",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,NA,NA,NA,NA,NA,0,NA
"20","e02257_A","e02257",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",11131,687833,18665,0.596356817572998,"S. alutus"
"21","e02257_A","e02257",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",7534,500250,18665,0.403643182427002,"S. polyspinis"
"22","e02260_A","e02260",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",125,687833,220,0.568181818181818,"S. alutus"
"23","e02260_A","e02260",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes melanostictus",14,28776,220,0.0636363636363636,"S. melanostictus"
"24","e02260_A","e02260",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes polyspinis",81,500250,220,0.368181818181818,"S. polyspinis"
"25","e02262_A","e02262",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,NA,NA,NA,NA,NA,0,NA
"26","e02263_A","e02263",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,NA,NA,NA,NA,NA,0,NA
"27","e02264_A","e02264",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",81,687833,30429,0.00266193433895297,"S. alutus"
"28","e02264_A","e02264",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes melanostictus",10,28776,30429,0.00032863386900654,"S. melanostictus"
"29","e02264_A","e02264",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes polyspinis",30338,500250,30429,0.99700943179204,"S. polyspinis"
"30","e02265_A","e02265",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",62,687833,12176,0.00509198423127464,"S. alutus"
"31","e02265_A","e02265",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes polyspinis",12114,500250,12176,0.994908015768725,"S. polyspinis"
"32","e02266_A","e02266",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",81,687833,26911,0.00300992159340047,"S. alutus"
"33","e02266_A","e02266",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes ciliatus_variabilis",4,82577,26911,0.000148638103377801,"S. ciliatus_variabilis"
"34","e02266_A","e02266",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes melanostictus",11,28776,26911,0.000408754784288952,"S. melanostictus"
"35","e02266_A","e02266",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes polyspinis",26815,500250,26911,0.996432685518933,"S. polyspinis"
"36","e02267_A","e02267",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",32760,687833,32781,0.999359385009609,"S. alutus"
"37","e02267_A","e02267",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes ciliatus_variabilis",4,82577,32781,0.000122021902931576,"S. ciliatus_variabilis"
"38","e02267_A","e02267",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes melanostictus",7,28776,32781,0.000213538330130258,"S. melanostictus"
"39","e02267_A","e02267",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes polyspinis",10,500250,32781,0.000305054757328941,"S. polyspinis"
"40","e02270_A","e02270",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",21151,687833,25149,0.8410274762416,"S. alutus"
"41","e02270_A","e02270",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",3998,500250,25149,0.1589725237584,"S. polyspinis"
"42","e02271_A","e02271",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",28741,687833,28741,1,"S. alutus"
"43","e02272_A","e02272",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",32908,687833,33008,0.996970431410567,"S. alutus"
"44","e02272_A","e02272",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",100,500250,33008,0.00302956858943286,"S. polyspinis"
"45","e02273_A","e02273",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",6940,687833,6944,0.999423963133641,"S. alutus"
"46","e02273_A","e02273",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",4,500250,6944,0.000576036866359447,"S. polyspinis"
"47","e02274_A","e02274",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",27498,687833,27672,0.993712055507372,"S. alutus"
"48","e02274_A","e02274",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes ciliatus_variabilis",70,82577,27672,0.00252963284186181,"S. ciliatus_variabilis"
"49","e02274_A","e02274",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes melanostictus",67,28776,27672,0.00242122000578202,"S. melanostictus"
"50","e02274_A","e02274",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",37,500250,27672,0.0013370916449841,"S. polyspinis"
"51","e02275_A","e02275",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",5918,687833,21425,0.276219369894982,"S. alutus"
"52","e02275_A","e02275",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes ciliatus_variabilis",7277,82577,21425,0.339649941656943,"S. ciliatus_variabilis"
"53","e02275_A","e02275",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",8230,500250,21425,0.384130688448075,"S. polyspinis"
"54","e02276_A","e02276",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",11959,687833,16962,0.70504657469638,"S. alutus"
"55","e02276_A","e02276",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",5003,500250,16962,0.29495342530362,"S. polyspinis"
"56","e02277_A","e02277",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes alutus",28436,687833,28441,0.999824197461411,"S. alutus"
"57","e02277_A","e02277",20241219,"sample","125",2022,7,13,"Aleutian Islands",179.092,51.22242,53.6,"sample","Sebastes polyspinis",5,500250,28441,0.000175802538588657,"S. polyspinis"
"58","e02279_A","e02279",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes alutus",22659,687833,22676,0.999250308696419,"S. alutus"
"59","e02279_A","e02279",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes polyspinis",17,500250,22676,0.000749691303580878,"S. polyspinis"
"60","e02280_A","e02280",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes alutus",33492,687833,33534,0.998747539810342,"S. alutus"
"61","e02280_A","e02280",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes polyspinis",42,500250,33534,0.00125246018965826,"S. polyspinis"
"62","e02281_A","e02281",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,NA,NA,NA,NA,NA,0,NA
"63","e02282_A","e02282",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,NA,NA,NA,NA,NA,0,NA
"64","e02283_A","e02283",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,NA,NA,NA,NA,NA,0,NA
"65","e02284_A","e02284",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes alutus",30490,687833,30519,0.99904977227301,"S. alutus"
"66","e02284_A","e02284",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,"sample","Sebastes polyspinis",29,500250,30519,0.000950227726989744,"S. polyspinis"
"67","e02285_A","e02285",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,NA,NA,NA,NA,NA,0,NA
"68","e02286_A","e02286",20241219,"sample","138",2022,7,16,"Aleutian Islands",178.2822,51.55123,90,NA,NA,NA,NA,NA,0,NA
"69","e02289_A","e02289",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",22597,687833,22665,0.996999779395544,"S. alutus"
"70","e02289_A","e02289",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",68,500250,22665,0.00300022060445621,"S. polyspinis"
"71","e02290_A","e02290",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",6090,687833,24255,0.251082251082251,"S. alutus"
"72","e02290_A","e02290",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes ciliatus_variabilis",9,82577,24255,0.000371057513914657,"S. ciliatus_variabilis"
"73","e02290_A","e02290",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",18156,500250,24255,0.748546691403834,"S. polyspinis"
"74","e02291_A","e02291",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",6838,687833,16283,0.419947184179819,"S. alutus"
"75","e02291_A","e02291",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",9445,500250,16283,0.580052815820181,"S. polyspinis"
"76","e02292_A","e02292",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",10,687833,20580,0.000485908649173955,"S. alutus"
"77","e02292_A","e02292",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes ciliatus_variabilis",19,82577,20580,0.000923226433430515,"S. ciliatus_variabilis"
"78","e02292_A","e02292",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",20551,500250,20580,0.998590864917396,"S. polyspinis"
"79","e02293_A","e02293",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",3743,687833,15272,0.245089051859612,"S. alutus"
"80","e02293_A","e02293",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes ciliatus_variabilis",2,82577,15272,0.000130958617077004,"S. ciliatus_variabilis"
"81","e02293_A","e02293",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",11527,500250,15272,0.754779989523311,"S. polyspinis"
"82","e02294_A","e02294",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",2586,687833,2771,0.93323709852039,"S. alutus"
"83","e02294_A","e02294",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",185,500250,2771,0.0667629014796103,"S. polyspinis"
"84","e02295_A","e02295",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",11286,687833,16268,0.693754610277846,"S. alutus"
"85","e02295_A","e02295",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",4982,500250,16268,0.306245389722154,"S. polyspinis"
"86","e02296_A","e02296",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes alutus",6867,687833,14438,0.475619891951794,"S. alutus"
"87","e02296_A","e02296",20241219,"sample","92",2022,7,3,"Aleutian Islands",-173.525,51.57386,85,"sample","Sebastes polyspinis",7571,500250,14438,0.524380108048206,"S. polyspinis"
"88","e02298_A","e02298",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",69,687833,34960,0.00197368421052632,"S. alutus"
"89","e02298_A","e02298",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes polyspinis",34891,500250,34960,0.998026315789474,"S. polyspinis"
"90","e02299_A","e02299",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",46,687833,28386,0.00162051715634468,"S. alutus"
"91","e02299_A","e02299",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes polyspinis",28340,500250,28386,0.998379482843655,"S. polyspinis"
"92","e02300_A","e02300",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,NA,NA,NA,NA,NA,0,NA
"93","e02301_A","e02301",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",8,687833,31904,0.000250752256770311,"S. alutus"
"94","e02301_A","e02301",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes ciliatus_variabilis",3,82577,31904,9.40320962888666e-05,"S. ciliatus_variabilis"
"95","e02301_A","e02301",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes polyspinis",31893,500250,31904,0.999655215646941,"S. polyspinis"
"96","e02302_A","e02302",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",35707,687833,36166,0.98730852181607,"S. alutus"
"97","e02302_A","e02302",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes polyspinis",459,500250,36166,0.0126914781839297,"S. polyspinis"
"98","e02303_A","e02303",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",7,687833,23861,0.000293365743263065,"S. alutus"
"99","e02303_A","e02303",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes ciliatus_variabilis",1,82577,23861,4.19093918947236e-05,"S. ciliatus_variabilis"
"100","e02303_A","e02303",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes polyspinis",23853,500250,23861,0.999664724864842,"S. polyspinis"
"101","e02304_A","e02304",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,NA,NA,NA,NA,NA,0,NA
"102","e02305_A","e02305",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes alutus",8,687833,25788,0.000310221808593144,"S. alutus"
"103","e02305_A","e02305",20241219,"sample","99",2022,7,5,"Aleutian Islands",-177.0133,51.54838,92,"sample","Sebastes ciliatus_variabilis",25780,82577,25788,0.999689778191407,"S. ciliatus_variabilis"
"104","e02308_A","e02308",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",198,687833,214,0.925233644859813,"S. alutus"
"105","e02308_A","e02308",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes ciliatus_variabilis",3,82577,214,0.014018691588785,"S. ciliatus_variabilis"
"106","e02308_A","e02308",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes polyspinis",13,500250,214,0.0607476635514019,"S. polyspinis"
"107","e02309_A","e02309",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",52,687833,27569,0.00188617650259349,"S. alutus"
"108","e02309_A","e02309",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes polyspinis",27517,500250,27569,0.998113823497407,"S. polyspinis"
"109","e02310_A","e02310",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,NA,NA,NA,NA,NA,0,NA
"110","e02311_A","e02311",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",88,687833,1814,0.0485115766262404,"S. alutus"
"111","e02311_A","e02311",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes polyspinis",1726,500250,1814,0.95148842337376,"S. polyspinis"
"112","e02312_A","e02312",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",1253,687833,25034,0.0500519293760486,"S. alutus"
"113","e02312_A","e02312",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes ciliatus_variabilis_polyspinus",344,344,25034,0.0137413118159303,"S. ciliatus_variabilis_polyspinus"
"114","e02312_A","e02312",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes polyspinis",23437,500250,25034,0.936206758808021,"S. polyspinis"
"115","e02313_A","e02313",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",10429,687833,10429,1,"S. alutus"
"116","e02314_A","e02314",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,NA,NA,NA,NA,NA,0,NA
"117","e02315_A","e02315",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes alutus",9638,687833,18194,0.529735077498076,"S. alutus"
"118","e02315_A","e02315",20241219,"sample","107",2022,7,7,"Aleutian Islands",-175.4014,51.55597,92.5,"sample","Sebastes polyspinis",8556,500250,18194,0.470264922501924,"S. polyspinis"
"119","e02317_A","e02317",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",9584,687833,19310,0.496323148627654,"S. alutus"
"120","e02317_A","e02317",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",9726,500250,19310,0.503676851372346,"S. polyspinis"
"121","e02318_A","e02318",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",20879,687833,27005,0.773153119792631,"S. alutus"
"122","e02318_A","e02318",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",6126,500250,27005,0.226846880207369,"S. polyspinis"
"123","e02319_A","e02319",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",8254,687833,20290,0.406801379990143,"S. alutus"
"124","e02319_A","e02319",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes melanostictus",7019,28776,20290,0.345933957614588,"S. melanostictus"
"125","e02319_A","e02319",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",5017,500250,20290,0.247264662395269,"S. polyspinis"
"126","e02320_A","e02320",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,NA,NA,NA,NA,NA,0,NA
"127","e02321_A","e02321",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",54,687833,25669,0.00210370485799992,"S. alutus"
"128","e02321_A","e02321",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes ciliatus_variabilis",25486,82577,25669,0.992870777981222,"S. ciliatus_variabilis"
"129","e02321_A","e02321",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",129,500250,25669,0.00502551716077759,"S. polyspinis"
"130","e02322_A","e02322",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",7,687833,31925,0.000219263899765074,"S. alutus"
"131","e02322_A","e02322",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",31918,500250,31925,0.999780736100235,"S. polyspinis"
"132","e02323_A","e02323",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes alutus",31423,687833,31472,0.998443060498221,"S. alutus"
"133","e02323_A","e02323",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,"sample","Sebastes polyspinis",49,500250,31472,0.00155693950177936,"S. polyspinis"
"134","e02324_A","e02324",20241219,"sample","95",2022,7,4,"Aleutian Islands",-173.4144,51.58176,95,NA,NA,NA,NA,NA,0,NA
"135","e02327_A","e02327",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes alutus",19,687833,27348,0.00069474915898786,"S. alutus"
"136","e02327_A","e02327",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes melanostictus",1,28776,27348,3.65657452098874e-05,"S. melanostictus"
"137","e02327_A","e02327",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes polyspinis",27328,500250,27348,0.999268685095802,"S. polyspinis"
"138","e02328_A","e02328",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,NA,NA,NA,NA,NA,0,NA
"139","e02329_A","e02329",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,NA,NA,NA,NA,NA,0,NA
"140","e02330_A","e02330",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,NA,NA,NA,NA,NA,0,NA
"141","e02331_A","e02331",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes alutus",181,687833,204,0.887254901960784,"S. alutus"
"142","e02331_A","e02331",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes ciliatus_variabilis",1,82577,204,0.00490196078431373,"S. ciliatus_variabilis"
"143","e02331_A","e02331",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes polyspinis",22,500250,204,0.107843137254902,"S. polyspinis"
"144","e02332_A","e02332",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,NA,NA,NA,NA,NA,0,NA
"145","e02333_A","e02333",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,NA,NA,NA,NA,NA,0,NA
"146","e02334_A","e02334",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes alutus",20,687833,26022,0.000768580431942203,"S. alutus"
"147","e02334_A","e02334",20241219,"sample","114",2022,7,10,"Aleutian Islands",-177.5099,51.37355,92,"sample","Sebastes polyspinis",26002,500250,26022,0.999231419568058,"S. polyspinis"
"148","e02336_A","e02336",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",9290,687833,16420,0.565773447015834,"S. alutus"
"149","e02336_A","e02336",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes ciliatus_variabilis",3,82577,16420,0.000182704019488429,"S. ciliatus_variabilis"
"150","e02336_A","e02336",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes melanostictus",2,28776,16420,0.000121802679658953,"S. melanostictus"
