"Sample_ID","community","tech_rep","taxon","nReads","Cycles","start_conc_ng"
"os_even_C","offshore_even","C","Sebastes ciliatus",2583,35,192
"os_even_C","offshore_even","C","Sebastes helvomaculatus",3290,35,199
"os_even_C","offshore_even","C","Sebastes melanops",8,35,0
"os_even_C","offshore_even","C","Sebastes melanostictus",2333,35,184
"os_even_C","offshore_even","C","Sebastes polyspinis",4247.49780098955,35,180
"os_even_C","offshore_even","C","Sebastes proriger",2582,35,191
"os_even_C","offshore_even","C","Sebastes reedi",153,35,0
"os_even_C","offshore_even","C","Sebastes variabilis",2639,35,197
"os_even_C","offshore_even","C","Sebastes variegatus",391,35,194
"os_even_C","offshore_even","C","Sebastes zacentrus",713,35,179
"os_skew_A","offshore_skew","A","Sebastes aleutianus",2031,35,591
"os_skew_A","offshore_skew","A","Sebastes alutus",3176.94649074583,35,995
"os_skew_A","offshore_skew","A","Sebastes babcocki",360,35,195
"os_skew_A","offshore_skew","A","Sebastes borealis",1357,35,390
"os_skew_A","offshore_skew","A","Sebastes brevispinis",786,35,209
"os_skew_A","offshore_skew","A","Sebastes ciliatus",754,35,192
"os_skew_A","offshore_skew","A","Sebastes elongatus",4,35,0
"os_skew_A","offshore_skew","A","Sebastes helvomaculatus",979,35,199
"os_skew_A","offshore_skew","A","Sebastes melanops",2,35,0
"os_skew_A","offshore_skew","A","Sebastes melanostictus",3364,35,920
"os_skew_A","offshore_skew","A","Sebastes polyspinis",5207,35,900
"os_skew_A","offshore_skew","A","Sebastes proriger",704,35,191
"os_skew_A","offshore_skew","A","Sebastes reedi",108,35,0
"os_skew_A","offshore_skew","A","Sebastes variabilis",767,35,197
"os_skew_A","offshore_skew","A","Sebastes variegatus",79,35,194
"os_skew_A","offshore_skew","A","Sebastes zacentrus",192,35,179
"os_skew_B","offshore_skew","B","Sebastes aleutianus",3358,35,591
"os_skew_B","offshore_skew","B","Sebastes alutus",5057.3415796225,35,995
"os_skew_B","offshore_skew","B","Sebastes babcocki",755,35,195
"os_skew_B","offshore_skew","B","Sebastes borealis",2422,35,390
"os_skew_B","offshore_skew","B","Sebastes brevispinis",1466,35,209
"os_skew_B","offshore_skew","B","Sebastes ciliatus",1211,35,192
"os_skew_B","offshore_skew","B","Sebastes helvomaculatus",1754,35,199
"os_skew_B","offshore_skew","B","Sebastes melanostictus",5535,35,920
"os_skew_B","offshore_skew","B","Sebastes polyspinis",8935,35,900
"os_skew_B","offshore_skew","B","Sebastes proriger",1230,35,191
"os_skew_B","offshore_skew","B","Sebastes reedi",112,35,0
"os_skew_B","offshore_skew","B","Sebastes variabilis",1264,35,197
"os_skew_B","offshore_skew","B","Sebastes variegatus",184,35,194
"os_skew_B","offshore_skew","B","Sebastes zacentrus",375,35,179
"os_skew_C","offshore_skew","C","Sebastes aleutianus",1747,35,591
"os_skew_C","offshore_skew","C","Sebastes alutus",2766.35101704233,35,995
"os_skew_C","offshore_skew","C","Sebastes babcocki",329,35,195
"os_skew_C","offshore_skew","C","Sebastes borealis",1359,35,390
"os_skew_C","offshore_skew","C","Sebastes brevispinis",743,35,209
"os_skew_C","offshore_skew","C","Sebastes ciliatus",681,35,192
"os_skew_C","offshore_skew","C","Sebastes helvomaculatus",766,35,199
"os_skew_C","offshore_skew","C","Sebastes melanostictus",3104,35,920
"os_skew_C","offshore_skew","C","Sebastes polyspinis",4950,35,900
"os_skew_C","offshore_skew","C","Sebastes proriger",677,35,191
"os_skew_C","offshore_skew","C","Sebastes reedi",96,35,0
"os_skew_C","offshore_skew","C","Sebastes variabilis",645,35,197
"os_skew_C","offshore_skew","C","Sebastes variegatus",87,35,194
"os_skew_C","offshore_skew","C","Sebastes zacentrus",184,35,179
